# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-04-17 02:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 1221890664 (Default)
# output
#   file = examples\bernoulli\output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01208
# Diagonal elements of inverse mass matrix:
# 0.584056
-6.90611,0.990843,1.01208,1,1,0,6.93635,0.18446
-7.36297,0.890058,1.01208,1,3,0,7.61012,0.402208
-6.90451,0.9696,1.01208,1,3,0,7.51398,0.184767
-7.39587,0.88613,1.01208,1,1,0,7.39589,0.128305
-6.78767,1,1.01208,1,3,0,7.25631,0.215947
-6.78767,0.198548,1.01208,1,3,0,13.0907,0.215947
-6.74901,1,1.01208,1,3,0,6.77638,0.244462
-7.59687,0.804747,1.01208,1,3,0,7.75225,0.114444
-8.80787,0.829713,1.01208,1,1,0,8.80942,0.0649209
-6.96859,0.989345,1.01208,2,3,0,8.90123,0.173679
-7.03128,0.984297,1.01208,1,1,0,7.0802,0.164604
-6.74956,0.994807,1.01208,1,3,0,6.96984,0.243106
-6.80964,0.968365,1.01208,2,3,0,6.89811,0.207922
-6.75429,0.995132,1.01208,2,3,0,6.81615,0.264167
-6.80182,0.912555,1.01208,2,3,0,7.06416,0.292413
-6.7585,1,1.01208,1,1,0,6.78715,0.268383
-6.75186,0.817978,1.01208,2,3,0,7.56403,0.239161
-6.79326,0.988319,1.01208,1,3,0,6.80465,0.288791
-6.79326,0.81915,1.01208,1,1,0,7.10399,0.288791
-6.74803,0.980188,1.01208,2,3,0,6.86427,0.250411
-6.80793,0.954851,1.01208,2,3,0,6.92907,0.294837
-7.42083,0.307757,1.01208,2,3,0,11.6529,0.409664
-7.17056,1,1.01208,1,1,0,7.46582,0.374694
-6.85388,1,1.01208,1,1,0,7.06544,0.310226
-6.76146,0.744133,1.01208,2,3,0,7.75714,0.270859
-6.76146,0.72864,1.01208,1,3,0,7.43804,0.270859
-6.79019,0.99593,1.01208,2,3,0,6.79245,0.287416
-6.79019,0.667423,1.01208,1,1,0,7.39683,0.287416
-6.74852,0.999792,1.01208,1,3,0,6.78116,0.246071
-6.86862,0.946635,1.01208,2,3,0,6.99899,0.192201
-7.1483,0.860278,1.01208,2,3,0,7.95413,0.150612
-7.81842,0.957306,1.01208,2,3,0,7.82448,0.101907
-8.48239,0.907143,1.01208,1,1,0,8.55196,0.0746727
-7.61877,1,1.01208,1,1,0,8.37136,0.113093
-6.80408,1,1.01208,2,3,0,7.42913,0.293323
-6.81256,0.658868,1.01208,2,3,0,8.16731,0.296592
-6.7603,1,1.01208,1,1,0,6.79473,0.269924
-7.41664,0.828243,1.01208,1,3,0,7.41928,0.409135
-7.1849,0.855999,1.01208,1,3,0,8.05776,0.1468
-6.91885,1,1.01208,2,3,0,7.09903,0.327326
