# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2025-04-17 02:54:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\bernoulli\bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 20060626
# output
#   file = examples\bernoulli\outputs\output2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.939616
# Diagonal elements of inverse mass matrix:
# 0.557715
-6.75709,0.995293,0.939616,1,3,0,6.82222,0.267083
-6.81425,0.980544,0.939616,1,3,0,6.85832,0.206446
-6.92018,0.975561,0.939616,1,1,0,6.92214,0.181836
-6.99953,0.96384,0.939616,2,3,0,7.30712,0.169025
-7.09293,0.981315,0.939616,1,1,0,7.12801,0.156846
-7.07505,0.799227,0.939616,2,3,0,9.11709,0.158997
-6.74804,1,0.939616,2,3,0,7.04533,0.250767
-7.62431,0.789302,0.939616,1,3,0,7.94606,0.112756
-6.88081,1,0.939616,2,3,0,7.42007,0.317779
-7.81663,0.727545,0.939616,1,1,0,7.81717,0.454145
-6.87761,1,0.939616,2,3,0,7.49815,0.31692
-6.87602,1,0.939616,1,1,0,6.916,0.316491
-6.75246,0.999872,0.939616,2,3,0,6.88324,0.238351
-6.75246,0.432229,0.939616,1,3,0,9.59698,0.238351
-6.87499,0.96688,0.939616,1,3,0,6.91356,0.316211
-6.85269,0.964612,0.939616,1,3,0,7.08762,0.195913
-7.08735,0.979269,0.939616,2,3,0,7.09112,0.361011
-7.64975,0.933069,0.939616,2,3,0,7.70598,0.436561
-9.13241,0.580035,0.939616,1,1,0,9.3109,0.560273
-6.74874,1,0.939616,1,3,0,8.54412,0.254774
-6.93632,0.939548,0.939616,2,3,0,7.10478,0.33138
-6.76103,0.994392,0.939616,1,3,0,6.96366,0.230209
-7.30691,0.88085,0.939616,2,3,0,7.62483,0.394664
-6.82049,1,0.939616,1,1,0,7.14836,0.299472
-6.83184,0.91617,0.939616,2,3,0,7.21122,0.303344
-7.57151,0.758711,0.939616,1,3,0,8.22672,0.116042
-7.12803,1,0.939616,1,1,0,7.49962,0.152823
-9.71859,0.691843,0.939616,1,3,0,10.2703,0.044984
-6.91209,0.911382,0.939616,2,7,0,8.98421,0.325708
-6.75282,0.997661,0.939616,1,3,0,6.91599,0.237885
-8.04041,0.727457,0.939616,1,3,0,8.20309,0.475726
-7.20266,1,0.939616,1,1,0,7.81558,0.379635
-12.0534,0.304404,0.939616,2,7,0,12.2837,0.0190617
-13.1517,0.974197,0.939616,1,1,0,13.2489,0.0129753
-14.2963,0.981591,0.939616,1,1,0,14.3965,0.00874669
-12.7043,1,0.939616,1,1,0,14.292,0.0151625
-12.2887,1,0.939616,2,3,0,12.9967,0.0175422
-10.8514,1,0.939616,1,1,0,12.2638,0.0293723
-9.98565,1,0.939616,1,1,0,10.9094,0.0405897
-10.2723,0.984417,0.939616,1,1,0,10.5449,0.0364135
-6.76652,0.8101,0.939616,1,3,0,11.3171,0.226486
-6.85125,0.973845,0.939616,1,3,0,6.91467,0.309441
-6.76023,1,0.939616,2,3,0,6.83886,0.230816
-6.82352,0.987814,0.939616,1,3,0,6.82406,0.203646
-6.90427,0.967647,0.939616,1,3,0,7.07435,0.323797
-7.64913,0.775929,0.939616,1,1,0,7.6541,0.436493
-6.80601,1,0.939616,1,3,0,7.37789,0.294088
-7.95205,0.753207,0.939616,1,3,0,7.96278,0.467446
-7.19202,1,0.939616,2,3,0,7.7568,0.378015
-7.23008,0.98683,0.939616,1,1,0,7.36974,0.383731
-6.85902,1,0.939616,2,3,0,7.15524,0.194402
-7.00393,0.948422,0.939616,1,3,0,7.25864,0.345636
-7.06095,0.636358,0.939616,2,3,0,8.93309,0.356354
-8.64808,0.567935,0.939616,1,1,0,8.66269,0.526135
-8.90377,0.910335,0.939616,1,1,0,9.54718,0.544701
-6.93133,0.974105,0.939616,1,3,0,9.18395,0.179846
-7.59571,0.894459,0.939616,2,3,0,7.94812,0.114516
-9.76899,0.792988,0.939616,1,3,0,9.94998,0.0441139
-9.23929,1,0.939616,1,1,0,9.8854,0.0543627
-7.17287,0.998275,0.939616,2,3,0,9.26876,0.148028
-6.77532,0.923107,0.939616,2,3,0,7.78743,0.279936
-6.93962,0.942206,0.939616,1,3,0,7.07929,0.178413
-7.74822,0.891386,0.939616,1,3,0,7.78205,0.105627
-7.26143,1,0.939616,1,1,0,7.68143,0.139484
-6.93662,1,0.939616,2,3,0,7.19654,0.178927
-6.78817,0.968268,0.939616,2,3,0,7.14125,0.286483
-7.07758,0.850554,0.939616,2,3,0,7.62205,0.158688
-7.64826,0.860686,0.939616,1,3,0,8.40197,0.436397
-7.64826,0.430821,0.939616,1,1,0,9.24012,0.436397
-7.93812,0.899453,0.939616,1,1,0,8.21105,0.466113
-7.00642,1,0.939616,1,1,0,7.63112,0.346126
-7.47961,0.849099,0.939616,1,1,0,7.51721,0.416938
-6.79056,0.987157,0.939616,1,3,0,7.53627,0.214776
-6.86451,0.860672,0.939616,2,3,0,7.83071,0.193131
-7.51911,0.934529,0.939616,2,3,0,7.63379,0.421672
-6.8442,1,0.939616,1,1,0,7.29482,0.307296
-6.86826,0.992418,0.939616,1,1,0,6.89335,0.314357
-6.9381,0.917208,0.939616,2,3,0,7.29439,0.178672
-7.56904,0.897837,0.939616,2,3,0,7.9284,0.116201
-7.6469,0.988463,0.939616,1,1,0,7.77985,0.111398
-6.96105,0.94828,0.939616,1,3,0,8.28667,0.336831
-7.02741,0.675062,0.939616,2,3,0,8.61984,0.350169
-6.76889,0.991261,0.939616,1,3,0,7.06987,0.225064
-6.86495,0.982246,0.939616,1,3,0,6.86563,0.193029
-7.56082,0.833885,0.939616,1,3,0,7.94228,0.426547
-7.13207,1,0.939616,1,1,0,7.48885,0.368535
-6.94387,1,0.939616,1,1,0,7.10734,0.333076
-6.85862,0.961418,0.939616,1,3,0,7.18024,0.194494
-6.82206,0.985254,0.939616,2,3,0,7.01048,0.204073
-6.91622,0.978372,0.939616,1,1,0,6.92002,0.182562
-6.82318,1,0.939616,2,3,0,6.89869,0.203744
-8.09396,0.775167,0.939616,1,3,0,8.33409,0.089097
-8.821,0.925119,0.939616,1,1,0,8.86129,0.0645634
-7.39988,0.947727,0.939616,1,3,0,8.66238,0.127999
-7.11828,1,0.939616,1,1,0,7.37054,0.153916
-6.76107,1,0.939616,1,3,0,7.07438,0.230176
-6.74898,1,0.939616,2,3,0,6.75908,0.255505
-6.77564,0.992272,0.939616,1,3,0,6.78652,0.221418
-6.74802,0.999829,0.939616,1,3,0,6.77366,0.250032
-8.20608,0.698173,0.939616,1,3,0,8.33042,0.490514
-8.1719,1,0.939616,1,1,0,8.68911,0.487536
-8.14172,1,0.939616,1,1,0,8.64579,0.484876
-7.99605,1,0.939616,1,1,0,8.5049,0.471606
-7.17181,1,0.939616,2,3,0,7.78681,0.148138
-6.74975,0.876879,0.939616,2,3,0,8.24255,0.242699
-6.84216,0.975308,0.939616,1,3,0,6.86648,0.30666
-6.74802,0.994039,0.939616,2,3,0,6.87639,0.250235
-6.74802,0.926385,0.939616,1,3,0,6.99808,0.250235
-6.88271,0.966049,0.939616,1,3,0,6.90093,0.318283
-6.88271,0.864653,0.939616,1,1,0,7.18091,0.318283
-7.5741,0.9023,0.939616,2,3,0,7.57707,0.428075
-7.27525,1,0.939616,1,1,0,7.60621,0.390248
-6.79767,0.746106,0.939616,2,3,0,8.44511,0.290694
-6.90953,0.965654,0.939616,1,1,0,6.91323,0.325088
-6.92744,0.934036,0.939616,1,3,0,7.26553,0.180533
-8.21227,0.738758,0.939616,1,3,0,8.8062,0.491049
-8.21227,0.641235,0.939616,1,3,0,9.78077,0.491049
-6.96987,1,0.939616,2,3,0,7.78387,0.338703
-6.81423,1,0.939616,1,1,0,6.92549,0.297214
-6.93961,0.843043,0.939616,2,3,0,7.56572,0.332122
-6.93961,0.851646,0.939616,1,1,0,7.27046,0.332122
-8.029,0.685444,0.939616,1,1,0,8.0335,0.474674
-7.57126,1,0.939616,1,1,0,8.09007,0.42775
-7.10548,1,0.939616,1,1,0,7.47551,0.364113
-8.9562,0.514657,0.939616,1,1,0,8.97333,0.548353
-6.77215,1,0.939616,1,3,0,8.31074,0.278108
-6.76943,1,0.939616,1,1,0,6.77702,0.276442
-8.01724,0.733846,0.939616,1,3,0,8.0562,0.473583
-7.2198,1,0.939616,1,1,0,7.81409,0.382208
-6.78516,0.984669,0.939616,1,3,0,7.29063,0.217006
-6.76074,1,0.939616,1,1,0,6.77928,0.230426
-7.15843,0.707159,0.939616,2,3,0,8.7607,0.149534
-7.63284,0.921511,0.939616,1,1,0,7.63889,0.11224
-6.89152,1,0.939616,2,3,0,7.42825,0.320581
-6.78776,0.922798,0.939616,2,3,0,7.24647,0.286289
-6.92922,0.956948,0.939616,1,1,0,6.93022,0.329754
-6.8495,1,0.939616,1,1,0,6.9235,0.308914
-7.51011,0.515827,0.939616,2,3,0,9.62521,0.420603
-7.51026,0.644835,0.939616,1,3,0,9.1938,0.12007
-6.83491,1,0.939616,2,3,0,7.3308,0.30435
-6.75491,1,0.939616,1,3,0,6.81248,0.264863
-6.98193,0.900864,0.939616,2,3,0,7.29352,0.341212
-7.0185,0.892054,0.939616,1,3,0,7.52566,0.166344
-8.05587,0.870442,0.939616,1,3,0,8.10616,0.0907193
-8.05587,0.88938,0.939616,1,1,0,9.05668,0.0907193
-7.46321,1,0.939616,1,1,0,7.98653,0.123336
-8.32381,0.890694,0.939616,2,3,0,9.01603,0.0801376
-6.75631,0.941443,0.939616,1,3,0,8.47838,0.23414
-6.76278,0.995733,0.939616,2,3,0,6.78842,0.228947
-8.49202,0.7459,0.939616,2,3,0,8.61387,0.0743573
-8.51807,0.997369,0.939616,1,1,0,8.78124,0.0735131
-6.7594,1,0.939616,2,3,0,8.22789,0.231468
-6.77175,0.996793,0.939616,1,1,0,6.77284,0.223452
